seed,correct_selection_fraction,disabled_correct_selection_fraction,selection_effect
202609300,0.7993090452261307,0.5051036432160804,0.2942054020100503
202609301,0.8037060301507538,0.5077732412060302,0.29593278894472363
202609302,0.7943624371859297,0.5029836683417085,0.2913787688442212
202609303,0.7946765075376885,0.4994503768844221,0.29522613065326636
202609304,0.8022141959798995,0.49764447236180903,0.3045697236180905
202609305,0.7941268844221105,0.4920697236180904,0.3020571608040201
202609306,0.7967964824120602,0.5061243718592965,0.29067211055276376
202609307,0.7983668341708543,0.4906564070351759,0.3077104271356784
202609308,0.7960113065326633,0.5029836683417085,0.2930276381909548
202609309,0.8039415829145728,0.5012562814070352,0.3026853015075377
